"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"louant" 0 0 0 0.02
"louez" 0 0 0 0.02
"loups" 0 0 0.02 0
"lous" 0 0 0.02 0
"loyale" 0 0 0 0.02
"loyales" 0 0 0 0.02
"loyaulment" 0 0 0 0.02
"loyaux" 0 0 0 0.02
"loz" 0 0.02 0 0
"luis" 0 0.02 0 0
"luisant" 0 0.02 0 0
"lutté" 0 0.02 0 0
"luy" 0 0 0.02 0
"lyon" 0 0 0.02 0
"macrobe" 0.02 0 0 0
"macrobes" 0.02 0 0 0
"maigrir" 0 0.02 0 0
"maille" 0 0 0.02 0
"maillées" 0 0 0 0.02
"mailles" 0 0 0 0.02
"maintenait" 0 0.02 0 0
"maintien" 0 0.02 0 0
"maisiere" 0.02 0 0 0
"mal-baillie" 0 0 0.02 0
"mal-baillis" 0 0 0.02 0
"mal-mise" 0 0 0.02 0
"malade" 0 0 0 0.02
"malen" 0 0.02 0 0
"malfaisant" 0.02 0 0 0
"malfaiteurs" 0 0 0 0.02
"malheureux" 0 0 0 0.02
"malignité" 0 0 0 0.02
"malins" 0 0 0 0.02
"malmenait" 0 0 0 0.02
"maltraite" 0 0 0 0.02
"maltraitée" 0 0 0 0.02
"maltraiter" 0 0 0 0.02
"mandast" 0 0 0.02 0
"mandement" 0 0 0 0.02
"maniait" 0.02 0 0 0
"manieres" 0 0.02 0 0
"manoeuvres" 0.02 0 0 0
"manquer" 0 0.02 0 0
"mant" 0 0 0 0.02
"mantiau" 0.02 0 0 0
"maquerele" 0 0 0.02 0
"maquerelle" 0 0 0.02 0
"marâtres" 0 0 0.02 0
"marchandise" 0 0 0.02 0
"marchier" 0 0 0 0.02
"mariant" 0.02 0 0 0
"mariniers" 0 0 0.02 0
"marmiteus" 0.02 0 0 0
"marmiteux" 0 0.02 0 0
"marqué" 0 0.02 0 0
"marques" 0 0.02 0 0
"massés" 0 0.02 0 0
"mastin" 0 0 0.02 0
"mastins" 0 0 0.02 0
"mater" 0 0 0.02 0
"matière" 0.02 0 0 0
"maufaitors" 0 0 0 0.02
"maufé" 0 0 0.02 0
"mauvès" 0.02 0 0 0
"mauvese" 0.02 0 0 0
"mauviettes" 0 0.02 0 0
"mavès" 0 0.02 0 0
"may" 0 0.02 0 0
"meaux" 0 0 0.02 0
"médisante" 0.02 0 0 0
"mefet" 0.02 0 0 0
"meffait" 0 0 0 0.02
"mégrece" 0.02 0 0 0
"meilleur" 0 0 0.02 0
"meillor" 0 0 0.02 0
"méisme" 0 0 0 0.02
"melles" 0 0.02 0 0
"mélodieux" 0 0.02 0 0
"membres" 0 0.02 0 0
"mémoire" 0 0.02 0 0
"menaces" 0 0 0 0.02
"menacier" 0 0 0 0.02
"ménage" 0 0 0.02 0
"menait" 0 0.02 0 0
"mençongier" 0.02 0 0 0
"mendre" 0.02 0 0 0
"menesterez" 0 0.02 0 0
"ménestrels" 0 0.02 0 0
"menjue" 0.02 0 0 0
"menor" 0.02 0 0 0
"mensonger" 0.02 0 0 0
"mente" 0 0.02 0 0
"menthe" 0 0.02 0 0
"menuës" 0 0 0.02 0
"mépris" 0 0 0.02 0
"méprise" 0 0 0 0.02
"méprisé" 0 0.02 0 0
"merciai" 0 0.02 0 0
"merites" 0 0 0.02 0
"méritez" 0 0 0.02 0
"merles" 0 0.02 0 0
"merveilles" 0 0.02 0 0
"merveilleuses" 0 0 0.02 0
"mesaise" 0 0 0.02 0
"mésange" 0 0.02 0 0
"mesaventure" 0.02 0 0 0
"mésaventure" 0.02 0 0 0
"meschiet" 0 0 0.02 0
"mesconter" 0.02 0 0 0
"mescroire" 0 0 0 0.02
"mesdis" 0 0 0.02 0
"mesdisant" 0.02 0 0 0
"mesese" 0.02 0 0 0
"meslées" 0 0 0 0.02
"mesnie" 0 0 0.02 0
"mestres" 0 0 0.02 0
"mestresse" 0 0 0.02 0
"mestrise" 0 0.02 0 0
"métaus" 0 0 0.02 0
"mete-la" 0 0 0 0.02
"metés" 0 0 0.02 0
"métier" 0 0 0 0.02
"metoient" 0 0 0 0.02
"mets" 0 0 0 0.02
"mettait" 0 0 0.02 0
"mettez" 0 0 0.02 0
"mettons" 0 0 0 0.02
"mettre" 0 0 0.02 0
"méur" 0 0 0 0.02
"meurt" 0 0 0.02 0
"miens" 0 0 0.02 0
"mignon" 0.02 0 0 0
"mignonne" 0 0.02 0 0
"mignonnette" 0 0.02 0 0
"mignonnettes" 0 0.02 0 0
"mignotement" 0 0.02 0 0
"mince" 0.02 0 0 0
"mirent" 0 0 0 0.02
"miréors" 0 0 0.02 0
"miroer" 0 0.02 0 0
"mise" 0 0 0 0.02
"mist" 0 0.02 0 0
"modulait" 0 0.02 0 0
"moille" 0.02 0 0 0
"moiller" 0 0 0 0.02
"mois" 0 0 0.02 0
"moison" 0 0.02 0 0
"moller" 0.02 0 0 0
"monnaie" 0 0 0 0.02
"monnoies" 0 0 0 0.02
"mons" 0 0.02 0 0
"monstra" 0 0.02 0 0
"monstrast" 0 0.02 0 0
"monstrent" 0.02 0 0 0
"monstrer" 0 0 0.02 0
"montance" 0.02 0 0 0
"montrant" 0 0 0 0.02
"montrent" 0.02 0 0 0
"morceaux" 0.02 0 0 0
"mordue" 0 0 0.02 0
"morie" 0.02 0 0 0
"morse" 0 0 0.02 0
"morust" 0.02 0 0 0
"mossues" 0.02 0 0 0
"moule" 0 0.02 0 0
"mourir" 0 0 0 0.02
"moussues" 0.02 0 0 0
"moustache" 0 0.02 0 0
"mout" 0 0 0.02 0
"moverresse" 0.02 0 0 0
"moyen" 0 0 0.02 0
"muance" 0 0 0 0.02
"mue" 0.02 0 0 0
"muer" 0 0 0 0.02
"muert" 0 0 0.02 0
"muraille" 0 0.02 0 0
"murailles" 0 0 0 0.02
"murmure" 0.02 0 0 0
"musardie" 0.02 0 0 0
"musculeuses" 0 0.02 0 0
"mystère" 0 0 0 0.02
"nager" 0 0 0.02 0
"naissance" 0.02 0 0 0
"naître" 0 0 0 0.02
"narrer" 0.02 0 0 0
"nattes" 0 0.02 0 0
"naturelle" 0.02 0 0 0
"navire" 0 0 0.02 0
"né" 0 0 0 0.02
"néant" 0.02 0 0 0
"nécessaire" 0 0 0.02 0
"nécessairement" 0 0 0.02 0
"née" 0 0 0 0.02
"nefs" 0 0 0.02 0
"negié" 0 0.02 0 0
"neige" 0 0.02 0 0
"neigé" 0 0.02 0 0
"neiz" 0 0 0 0.02
"neporquant" 0.02 0 0 0
"neptune" 0 0 0.02 0
"neptunus" 0 0 0.02 0
"nerveux" 0 0 0 0.02
"nestre" 0 0 0 0.02
"net" 0 0.02 0 0
"nice" 0 0 0 0.02
"nices" 0 0 0.02 0
"noblesce" 0 0.02 0 0
"noblesse" 0 0.02 0 0
"noiaus" 0 0 0 0.02
"noiée" 0 0 0 0.02
"noif" 0 0.02 0 0
"nombreux" 0.02 0 0 0
"nomment" 0 0 0.02 0
"nommera" 0.02 0 0 0
"noms" 0 0 0.02 0
"nons" 0.02 0 0 0
"nooit" 0.02 0 0 0
"norist" 0.02 0 0 0
"noue" 0.02 0 0 0
"nourrie" 0 0 0.02 0
"nourrit" 0.02 0 0 0
"nouvelles" 0 0 0 0.02
"noveles" 0 0 0 0.02
"novice" 0 0 0 0.02
"noyée" 0 0 0 0.02
"nuances" 0.02 0 0 0
"nues" 0 0 0.02 0
"nuis" 0.02 0 0 0
"nuitz" 0.02 0 0 0
"nules" 0 0 0 0.02
"oant" 0 0 0 0.02
"obéisse" 0 0 0.02 0
"obéist" 0 0 0.02 0
"oblie" 0.02 0 0 0
"obtenir" 0 0 0 0.02
"occasion" 0 0 0.02 0
"occupait" 0 0.02 0 0
"octroie" 0 0 0.02 0
"oel" 0.02 0 0 0
"oeuvres" 0 0.02 0 0
"offrir" 0.02 0 0 0
"oie" 0 0 0 0.02
"oïe" 0 0.02 0 0
"oil" 0 0.02 0 0
"oïl" 0 0 0.02 0
"oisillon" 0 0.02 0 0
"omme" 0 0.02 0 0
"ondulait" 0 0.02 0 0
"ongles" 0 0 0 0.02
"onor" 0.02 0 0 0
"onze" 0 0 0.02 0
"oreille" 0 0.02 0 0
"ores" 0 0 0.02 0
"orfrais" 0 0.02 0 0
"orfrois" 0 0.02 0 0
"orgoille" 0.02 0 0 0
"orgueilleuse" 0.02 0 0 0
"orguilleuse" 0.02 0 0 0
"ornements" 0 0.02 0 0
"orribles" 0 0 0.02 0
"orroie" 0 0.02 0 0
"orse" 0 0 0.02 0
"osais" 0 0.02 0 0
"osait" 0.02 0 0 0
"osasse" 0 0.02 0 0
"osast" 0 0 0 0.02
"ossu" 0 0 0 0.02
"ostat" 0.02 0 0 0
"ostel" 0 0 0.02 0
"osterai" 0 0 0.02 0
"ostés" 0 0 0.02 0
"ôte" 0 0 0.02 0
"otroi" 0 0.02 0 0
"oubliant" 0.02 0 0 0
"oubliez" 0 0 0 0.02
"oui" 0 0 0.02 0
"ouïe" 0 0.02 0 0
"ouït" 0.02 0 0 0
"oultre" 0 0 0.02 0
"ours" 0 0 0.02 0
"outrageux" 0 0 0.02 0
"outre" 0 0 0.02 0
"outre-mer" 0 0 0.02 0
"outréement" 0 0 0 0.02
"overt" 0 0.02 0 0
"ovré" 0 0.02 0 0
"ovres" 0 0.02 0 0
"ovrit" 0 0.02 0 0
"oysiaus" 0 0.02 0 0
"paage" 0.02 0 0 0
"pages" 0.02 0 0 0
"paierait" 0 0 0.02 0
"paindre" 0.02 0 0 0
"paintures" 0.02 0 0 0
"paire" 0.02 0 0 0
"paisible" 0.02 0 0 0
"paisiblement" 0 0 0.02 0
"palestine" 0 0.02 0 0
"paleur" 0.02 0 0 0
"palissades" 0 0 0 0.02
"panufles" 0 0 0.02 0
"paor" 0 0 0 0.02
"paoureuse" 0 0 0.02 0
"paraît" 0.02 0 0 0
"parastes" 0 0 0.02 0
"parçonniers" 0 0 0.02 0
"pardoigne" 0 0 0 0.02
"pardoné" 0 0 0 0.02
"pardonne" 0 0 0 0.02
"pardonné" 0 0 0 0.02
"paré" 0 0.02 0 0
"pareceux" 0 0 0 0.02
"parée" 0 0.02 0 0
"pareillement" 0 0 0.02 0
"parer" 0.02 0 0 0
"paresseux" 0 0 0 0.02
"parfesoient" 0 0.02 0 0
"parfois" 0 0 0.02 0
"parfont" 0.02 0 0 0
"parfumé" 0 0.02 0 0
"pariez" 0 0 0.02 0
"parjure" 0 0 0 0.02
"partage" 0 0 0.02 0
"partagèrent" 0 0 0 0.02
"parte" 0 0 0 0.02
"partir" 0 0 0 0.02
"partirent" 0 0 0 0.02
"partis" 0.02 0 0 0
"parure" 0 0.02 0 0
"parures" 0 0 0.02 0
"passage" 0 0.02 0 0
"passages" 0 0.02 0 0
"passant" 0 0 0 0.02
"passe" 0 0.02 0 0
"passé" 0.02 0 0 0
"paste" 0 0 0.02 0
"pâte" 0 0 0.02 0
"pâtir" 0.02 0 0 0
"pautonniers" 0 0 0.02 0
"pauvrement" 0.02 0 0 0
"pauvrette" 0 0.02 0 0
"payé" 0 0.02 0 0
"pays" 0 0.02 0 0
"péage" 0.02 0 0 0
"peau" 0 0.02 0 0
"péchés" 0 0 0.02 0
"peigne" 0 0.02 0 0
"peigné" 0 0.02 0 0
"peignit" 0.02 0 0 0
"peint" 0.02 0 0 0
"peinte" 0.02 0 0 0
"peintes" 0 0.02 0 0
"peinture" 0 0.02 0 0
"pelerinage" 0 0 0.02 0
"pèlerinages" 0 0 0.02 0
"pelices" 0 0 0.02 0
"pelles" 0 0 0.02 0
"pend" 0.02 0 0 0
"pendoit" 0.02 0 0 0
"pendue" 0 0 0.02 0
"penés" 0 0 0 0.02
"pénétrer" 0 0.02 0 0
"pénitance" 0 0 0 0.02
"pénitence" 0 0 0 0.02
"penne" 0.02 0 0 0
"penoit" 0 0.02 0 0
"pens" 0 0.02 0 0
"pense-on" 0 0 0.02 0
"pensée" 0.02 0 0 0
"pensés-vous" 0 0 0.02 0
"pensez-vous" 0 0 0.02 0
"per" 0 0 0 0.02
"perçantes" 0 0.02 0 0
"perdent" 0 0.02 0 0
"perdra" 0 0 0 0.02
"perdue" 0 0.02 0 0
"perduë" 0 0 0 0.02
"perfidement" 0 0 0 0.02
"perles" 0 0 0.02 0
"permise" 0 0 0 0.02
"perpétuer" 0 0 0 0.02
"perreries" 0 0 0.02 0
"perroquet" 0.02 0 0 0
"perruches" 0 0.02 0 0
"perses" 0.02 0 0 0
"perte" 0.02 0 0 0
"pertinemment" 0 0 0 0.02
"pesance" 0.02 0 0 0
"pesans" 0.02 0 0 0
"pesants" 0.02 0 0 0
"pesast" 0.02 0 0 0
"pesiblement" 0 0 0.02 0
"pesme" 0 0 0.02 0
"pestre" 0.02 0 0 0
"petis" 0 0.02 0 0
"petitet" 0 0.02 0 0
"petiz" 0 0.02 0 0
"petri" 0.02 0 0 0
"péuë" 0 0 0.02 0
"peureuse" 0 0 0.02 0
"peus" 0 0.02 0 0
"péus" 0 0.02 0 0
"péusse" 0 0.02 0 0
"peut-être" 0 0 0.02 0
"pez" 0 0 0 0.02
"phalange" 0 0.02 0 0
"philebert" 0 0 0.02 0
"philibert" 0 0 0.02 0
"piece" 0 0 0 0.02
"pièces" 0.02 0 0 0
"pierreries" 0 0 0.02 0
"pieusement" 0 0 0 0.02
"pignée" 0 0.02 0 0
"pignie" 0 0.02 0 0
"pignier" 0 0.02 0 0
"pinceaux" 0.02 0 0 0
"pincer" 0 0 0 0.02
"pinsons" 0 0.02 0 0
"pire" 0 0 0.02 0
"plaideurs" 0.02 0 0 0
"plaignants" 0 0 0 0.02
"plaigne" 0 0 0.02 0
"plainement" 0 0 0 0.02
"plaing" 0.02 0 0 0
"plainte" 0 0 0.02 0
"plaintifz" 0 0 0 0.02
"plaira" 0 0 0 0.02
"plaisait" 0 0.02 0 0
"plaisantes" 0 0.02 0 0
"plaisants" 0 0 0 0.02
"plaisoit" 0 0.02 0 0
"plantaient" 0 0 0 0.02
"planter" 0 0.02 0 0
"plantèrent" 0 0 0 0.02
"plantes" 0 0.02 0 0
"pledéors" 0.02 0 0 0
"pleinte" 0 0 0.02 0
"pleniere" 0 0 0 0.02
"plere" 0.02 0 0 0
"plesamment" 0 0.02 0 0
"plesir" 0 0 0.02 0
"plessier" 0 0 0 0.02
"pleurs" 0.02 0 0 0
"pléust" 0 0 0 0.02
"plongé" 0.02 0 0 0
"plongeait" 0 0.02 0 0
"plorant" 0 0 0 0.02
"ploroit" 0.02 0 0 0
"plot" 0.02 0 0 0
"plusors" 0.02 0 0 0
"plut" 0.02 0 0 0
"plût" 0 0 0 0.02
"pluvieux" 0.02 0 0 0
"pocins" 0 0.02 0 0
"poés" 0 0 0.02 0
"poïés" 0 0 0 0.02
"poings" 0.02 0 0 0
"poins" 0.02 0 0 0
"points" 0 0 0 0.02
"pois" 0 0 0 0.02
"poison" 0.02 0 0 0
"poissance" 0.02 0 0 0
"poissans" 0 0.02 0 0
"polis" 0 0.02 0 0
"pooit-el" 0.02 0 0 0
"porchas" 0 0 0 0.02
"porent" 0 0 0 0.02
"porpenser" 0 0 0.02 0
"porrés" 0 0 0.02 0
"porrez" 0.02 0 0 0
"porrist" 0.02 0 0 0
"porroie" 0 0.02 0 0
"porroit-ele" 0 0 0 0.02
"portast" 0 0.02 0 0
"portèrent" 0 0 0 0.02
"porteront" 0 0 0 0.02
"portés" 0 0 0.02 0
"portez" 0 0 0.02 0
"portrait" 0.02 0 0 0
"portret" 0 0.02 0 0
"portrete" 0.02 0 0 0
"position" 0 0 0.02 0
"posséderez" 0 0 0 0.02
"possible" 0 0 0 0.02
"postures" 0.02 0 0 0
"potance" 0.02 0 0 0
"potion" 0 0 0 0.02
"poucin" 0 0 0.02 0
"poulet" 0 0 0 0.02
"pourquoi" 0 0 0.02 0
"pourrit" 0.02 0 0 0
"pourront" 0 0 0.02 0
"poursuivant" 0 0.02 0 0
"pourtraire" 0 0.02 0 0
"pourtraites" 0.02 0 0 0
"pourvu" 0 0 0 0.02
"poussent" 0 0 0.02 0
"pousser" 0.02 0 0 0
"pouvant" 0 0 0.02 0
"pouvez" 0 0 0 0.02
"pouvoir" 0 0 0 0.02
"poverté" 0.02 0 0 0
"povez" 0 0 0 0.02
"povrement" 0.02 0 0 0
"praérie" 0.02 0 0 0
"prairie" 0.02 0 0 0
"précieus" 0 0 0 0.02
"précieuse" 0 0 0 0.02
"prédite" 0.02 0 0 0
"prée" 0.02 0 0 0
"preigne" 0 0 0.02 0
"preingne" 0 0 0 0.02
"préisse" 0 0.02 0 0
"premierement" 0 0 0.02 0
"premièrement" 0 0 0.02 0
"premières" 0 0 0 0.02
"prend-il" 0 0 0 0.02
"prendriés" 0 0 0 0.02
"prenez-la" 0 0 0 0.02
"présens" 0.02 0 0 0
"présentait" 0 0.02 0 0
"presque" 0.02 0 0 0
"pressée" 0.02 0 0 0
"prestement" 0 0 0 0.02
"prester" 0.02 0 0 0
"prestresse" 0 0 0.02 0
"prêt" 0 0 0 0.02
"prétendent" 0.02 0 0 0
"prétendre" 0 0 0.02 0
"prêtresse" 0 0 0.02 0
"preu" 0 0 0 0.02
"preuves" 0 0 0 0.02
"preux" 0 0 0 0.02
"prévenir" 0 0 0 0.02
"pria" 0 0.02 0 0
"prière" 0 0.02 0 0
"prieres" 0 0.02 0 0
"primes" 0 0.02 0 0
"princes" 0 0 0 0.02
"principautés" 0 0 0 0.02
"priseront-ils" 0 0 0.02 0
"prist" 0 0 0.02 0
"proche" 0.02 0 0 0
"prode" 0 0 0 0.02
"prodiguaient" 0 0.02 0 0
"prodome" 0.02 0 0 0
"prodomme" 0.02 0 0 0
"profond" 0.02 0 0 0
"profondément" 0.02 0 0 0
"proisies" 0 0 0 0.02
"promenais" 0.02 0 0 0
"promène" 0 0 0.02 0
"promener" 0 0 0.02 0
"promete" 0 0 0 0.02
"promptement" 0.02 0 0 0
"proportion" 0 0.02 0 0
"propre" 0.02 0 0 0
"propriétés" 0 0 0 0.02
"prouesse" 0.02 0 0 0
"prouvés" 0 0 0.02 0
"prové" 0 0 0.02 0
"prudence" 0 0 0 0.02
"prudent" 0 0 0 0.02
"prudhomme" 0.02 0 0 0
"prunelle" 0.02 0 0 0
"puant" 0 0 0.02 0
"pucelles" 0.02 0 0 0
"pudeur" 0 0 0.02 0
"pueple" 0 0 0 0.02
"puet-ele" 0 0 0.02 0
"puet-l" 0 0 0 0.02
"puis-je" 0 0 0.02 0
"puisqu" 0 0 0 0.02
"puissance" 0.02 0 0 0
"puissante" 0 0.02 0 0
"puisse-t-on" 0 0 0.02 0
"puits" 0.02 0 0 0
"puiz" 0.02 0 0 0
"pure" 0.02 0 0 0
"purement" 0 0 0.02 0
"purent" 0 0 0 0.02
"pures" 0 0.02 0 0
"pusse" 0 0.02 0 0
"putassiers" 0 0 0.02 0
"quantité" 0 0 0.02 0
"quarré" 0 0.02 0 0
"quarrés" 0 0.02 0 0
"quatorze" 0 0 0 0.02
"quéisse" 0 0.02 0 0
"quelques" 0.02 0 0 0
"querir" 0 0.02 0 0
"quiconques" 0.02 0 0 0
"quicunques" 0 0 0 0.02
"quiex" 0 0 0 0.02
"quis" 0 0 0 0.02
"quittait" 0 0 0.02 0
"quitter" 0 0 0 0.02
"quittèrent" 0 0 0 0.02
"quoiqu" 0 0 0 0.02
"raconte" 0.02 0 0 0
"raconté" 0 0 0.02 0
"radieux" 0 0.02 0 0
"radotée" 0.02 0 0 0
"raffiné" 0 0 0.02 0
"rafraîchis" 0.02 0 0 0
"rafreschi" 0.02 0 0 0
"raime" 0.02 0 0 0
"raine" 0 0.02 0 0
"ramanant" 0 0.02 0 0
"ramé" 0 0.02 0 0
"ramée" 0.02 0 0 0
"ramponeuse" 0.02 0 0 0
"rancune" 0 0 0.02 0
"rancunes" 0 0 0.02 0
"rancuneuse" 0.02 0 0 0
"rang" 0.02 0 0 0
"ranger" 0.02 0 0 0
"rapele" 0 0 0 0.02
"rapesier" 0 0 0 0.02
"rapide" 0.02 0 0 0
"rarement" 0 0 0.02 0
"rassemblées" 0 0 0 0.02
"rassotée" 0.02 0 0 0
"ravie" 0 0.02 0 0
"ravir" 0 0 0 0.02
"ravis" 0 0 0.02 0
"ravissant" 0 0.02 0 0
"ravissante" 0 0.02 0 0
"ravoit-il" 0 0 0.02 0
"réalisent" 0.02 0 0 0
"recenser" 0 0 0.02 0
"recercelés" 0 0.02 0 0
"recevra" 0 0 0 0.02
"rechauciés" 0 0 0.02 0
"rechignie" 0.02 0 0 0
"récits" 0 0.02 0 0
"reçoeve" 0.02 0 0 0
"reçoit" 0 0 0 0.02
"reçoive" 0.02 0 0 0
"recongnoisse" 0 0 0 0.02
"reconnaît" 0 0 0.02 0
"reconnu" 0 0.02 0 0
"recontoit" 0.02 0 0 0
"recoquillés" 0.02 0 0 0
"recorbillies" 0.02 0 0 0
"recordé" 0 0 0 0.02
"recouvrent" 0.02 0 0 0
"recovrent" 0.02 0 0 0
"recroie" 0 0 0 0.02
"recroire" 0 0 0 0.02
"recuilloient" 0 0.02 0 0
"redirai" 0 0.02 0 0
"redotoit" 0 0 0.02 0
"redoubler" 0 0 0 0.02
"redouté" 0 0 0.02 0
"redut" 0 0 0.02 0
"reface" 0 0 0 0.02
"réfléchir" 0 0 0.02 0
"regardai" 0 0.02 0 0
"regardans" 0 0 0.02 0
"regardant" 0 0.02 0 0
"regardants" 0 0 0.02 0
"regardast" 0.02 0 0 0
"regarde" 0 0 0.02 0
"regardoit" 0.02 0 0 0
"régnait" 0 0.02 0 0
"regne" 0 0.02 0 0
"regracier" 0 0 0 0.02
"reines" 0 0.02 0 0
"relancé" 0 0 0 0.02
"remains" 0 0 0.02 0
"remblais" 0 0 0 0.02
"remembrance" 0.02 0 0 0
"remercier" 0 0 0 0.02
"remese" 0.02 0 0 0
"remiré" 0.02 0 0 0
"remise" 0 0 0.02 0
"remplacée" 0.02 0 0 0
"rempli" 0 0.02 0 0
"remplit" 0 0 0 0.02
"remuans" 0 0.02 0 0
"remuer" 0 0.02 0 0
"rencontre" 0 0 0 0.02
"rencontré" 0 0 0.02 0
"rendez-vous" 0 0.02 0 0
"rendu" 0 0.02 0 0
"rendue" 0 0.02 0 0
"renforce" 0 0 0 0.02
"renoiée" 0 0 0 0.02
"renom" 0 0 0.02 0
"rent" 0 0 0 0.02
"renverser" 0.02 0 0 0
"renvoisier" 0 0.02 0 0
"renvoisies" 0 0 0 0.02
"repaître" 0.02 0 0 0
"répandirent" 0 0 0.02 0
"répéterez" 0 0 0.02 0
"répondit" 0 0.02 0 0
"reponnoit" 0.02 0 0 0
"repose" 0 0.02 0 0
"reposer" 0 0.02 0 0
"repostailles" 0 0 0.02 0
"repoussant" 0.02 0 0 0
"reproches" 0 0 0 0.02
"requerant" 0 0 0 0.02
"requérant" 0 0 0 0.02
"resemblables" 0 0 0.02 0
"réservées" 0 0.02 0 0
"respecté" 0.02 0 0 0
"respecter" 0 0 0 0.02
"resplendissaient" 0 0.02 0 0
"respond" 0 0 0 0.02
"respondre" 0 0.02 0 0
"ressemblance" 0 0.02 0 0
"ressembloit" 0.02 0 0 0
"rest" 0 0 0.02 0
"restaient" 0 0 0 0.02
"rester" 0.02 0 0 0
"restut" 0 0 0 0.02
"resunt" 0 0 0.02 0
"retenu" 0 0 0.02 0
"retient" 0 0 0.02 0
"retorne" 0.02 0 0 0
"retorner" 0.02 0 0 0
"retornoit" 0.02 0 0 0
"retournait" 0.02 0 0 0
"retourner" 0.02 0 0 0
"retraire" 0.02 0 0 0
"retraite" 0.02 0 0 0
"retrere" 0.02 0 0 0
"retroussé" 0.02 0 0 0
"revalent" 0 0 0.02 0
"revancher" 0 0 0 0.02
"rêvées" 0 0.02 0 0
"révéler" 0 0 0 0.02
"revenchier" 0 0 0 0.02
"reverchier" 0 0 0 0.02
"reverdie" 0 0.02 0 0
"revi" 0.02 0 0 0
"revoit-l" 0 0 0.02 0
"révolté" 0 0 0 0.02
"ribaudiaus" 0.02 0 0 0
"ribaut" 0 0 0.02 0
"rides" 0.02 0 0 0
"rigole" 0 0.02 0 0
"rigoler" 0 0.02 0 0
"rimaier" 0.02 0 0 0
"rimailler" 0.02 0 0 0
"riront" 0 0 0.02 0
"rist" 0.02 0 0 0
"ritournelle" 0 0 0.02 0
"robéors" 0 0 0 0.02
"rober" 0.02 0 0 0
"rocailleux" 0.02 0 0 0
"roéle" 0 0 0.02 0
"roide" 0.02 0 0 0
"roietiaus" 0 0.02 0 0
"roille" 0 0 0.02 0
"roilléis" 0 0 0 0.02
"roitelet" 0 0.02 0 0
"roland" 0 0 0.02 0
"rolans" 0 0 0.02 0
"romanie" 0 0 0.02 0
"rommant" 0.02 0 0 0
"rompt" 0 0 0.02 0
"ronce" 0 0.02 0 0
"ronge" 0.02 0 0 0
"rongé" 0 0.02 0 0
"ront" 0 0 0.02 0
"rorent" 0 0 0.02 0
"rosé" 0.02 0 0 0
"rosée" 0.02 0 0 0
"rossigniaus" 0 0.02 0 0
"rossignol" 0.02 0 0 0
"rossignolés" 0 0.02 0 0
"rossignolets" 0 0.02 0 0
"rossignols" 0 0.02 0 0
"rossignos" 0.02 0 0 0
"rotruenges" 0 0.02 0 0
"roue" 0 0 0.02 0
"roule" 0 0 0.02 0
"roumanie" 0 0 0.02 0
"rousée" 0.02 0 0 0
"route" 0 0.02 0 0
"roy" 0 0 0 0.02
"roys" 0.02 0 0 0
"ruë" 0 0 0 0.02
"ruisseau" 0.02 0 0 0
"rumine" 0 0.02 0 0
"ruses" 0 0 0.02 0
"sac" 0 0.02 0 0
"sachant" 0 0.02 0 0
"sachez-le" 0 0.02 0 0
"sachierent" 0 0 0.02 0
"sages" 0 0 0 0.02
"sailliés" 0 0 0.02 0
"saillist" 0 0 0.02 0
"saillist-il" 0 0 0.02 0
"saines" 0 0.02 0 0
"sains" 0 0.02 0 0
"saint-père" 0 0 0.02 0
"saisir" 0 0 0 0.02
"saisit" 0 0 0.02 0
"salernon" 0 0 0 0.02
"salomon" 0 0 0 0.02
"samit" 0 0.02 0 0
"sanglants" 0.02 0 0 0
"sanglier" 0 0 0 0.02
"sarradins" 0 0.02 0 0
"sarrazins" 0 0.02 0 0
"satin" 0 0.02 0 0
"sauré" 0 0.02 0 0
"sauront" 0 0 0 0.02
"sautai" 0.02 0 0 0
"sautait" 0 0 0.02 0
"sauter" 0 0 0.02 0
"sautez" 0 0 0.02 0
"sautier" 0 0.02 0 0
"savais" 0 0.02 0 0
"savait" 0.02 0 0 0
"savamment" 0.02 0 0 0
"savantes" 0 0.02 0 0
"savent" 0 0 0 0.02
"savés" 0.02 0 0 0
"savés-vous" 0 0.02 0 0
"savez" 0.02 0 0 0
"savoie" 0 0.02 0 0
"savoir" 0 0.02 0 0
"savorée" 0 0.02 0 0
"savourée" 0 0.02 0 0
"scet" 0.02 0 0 0
"sciences" 0 0 0 0.02
"scipion" 0.02 0 0 0
"sec" 0.02 0 0 0
"sechiés" 0.02 0 0 0
"secorcié" 0.02 0 0 0
"secors" 0 0 0.02 0
"secoue" 0 0 0.02 0
"secrés" 0 0 0 0.02
"secret" 0 0 0 0.02
"secs" 0.02 0 0 0
"séduire" 0 0 0 0.02
"séduisant" 0 0.02 0 0
"séduisantes" 0 0.02 0 0
"séduisants" 0 0.02 0 0
"séduit" 0 0.02 0 0
"séduits" 0 0 0.02 0
"seigneurie" 0 0 0.02 0
"seignorie" 0 0 0.02 0
"seignorir" 0 0 0.02 0
"sejor" 0.02 0 0 0
"sejourner" 0.02 0 0 0
"séjourner" 0.02 0 0 0
"sel" 0.02 0 0 0
"semaine" 0 0 0.02 0
"semans" 0 0 0.02 0
"semant" 0 0 0.02 0
"semblable" 0 0 0.02 0
