"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"première" 0 0.04 0 0.04
"prend" 0.04 0 0.04 0
"prince" 0 0 0 0.08
"pucelle" 0 0.08 0 0
"quanque" 0 0 0.04 0.04
"raison" 0 0.04 0.02 0.02
"regarder" 0.06 0.02 0 0
"ribaus" 0 0 0.08 0
"robes" 0 0.02 0.06 0
"roi" 0.04 0 0.02 0.02
"sage" 0.06 0 0 0.02
"sai" 0 0.02 0.06 0
"savante" 0 0.08 0 0
"seigneur" 0 0.02 0.04 0.02
"séjour" 0.02 0.06 0 0
"serait" 0.02 0.02 0.02 0.02
"seus" 0.02 0.02 0.02 0.02
"solas" 0 0.04 0.02 0.02
"souvent" 0 0.02 0.02 0.04
"sui" 0 0.08 0 0
"suite" 0.04 0.02 0.02 0
"tels" 0 0 0.02 0.06
"tex" 0 0 0.04 0.04
"toison" 0 0 0.08 0
"tresce" 0 0.08 0 0
"tretoute" 0.02 0.02 0 0.04
"tristesse" 0.06 0.02 0 0
"trois" 0.02 0.04 0.02 0
"trouver" 0 0.08 0 0
"veille" 0 0.02 0.02 0.04
"venuë" 0 0 0.06 0.02
"véoir" 0.02 0.04 0.02 0
"veuille" 0.02 0 0.02 0.04
"veux" 0.04 0 0.02 0.02
"vieillesse" 0.08 0 0 0
"vif" 0 0.02 0.04 0.02
"vilaine" 0.04 0.04 0 0
"vilenie" 0.04 0 0.04 0
"virent" 0 0.02 0.02 0.04
"vois" 0.02 0.04 0.02 0
"voisins" 0 0 0.04 0.04
"voler" 0 0 0.08 0
"voyant" 0 0 0.02 0.06
"vu" 0 0.04 0.02 0.02
"vue" 0.06 0.02 0 0
"adès" 0.02 0.04 0 0
"adonc" 0 0.04 0.02 0
"aimer" 0 0 0.02 0.04
"aise" 0.02 0 0.02 0.02
"allégresse" 0.02 0.04 0 0
"amante" 0 0 0.02 0.04
"ame" 0 0 0.02 0.04
"amère" 0.02 0 0 0.04
"amés" 0.02 0.02 0.02 0
"anciennes" 0 0.02 0.02 0.02
"apela" 0 0.04 0.02 0
"appareil" 0 0.02 0.04 0
"appelait" 0.02 0.04 0 0
